Affiliation,PIs,Cancer type 
"PRINCIPAL_INVESTIGATOR, Jifeng Feng, Jiangsu Province Cancer Hosipital",Jifeng Feng,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Marcos Roberto de Menezes, MD, PHD, Instituto do Cancer do Estado de Sao Paulo","Marcos Roberto de Menezes, MD, PHD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Dale Sandler, Ph.D., National Institute of Environmental Health Sciences (NIEHS)","Dale Sandler, Ph.D.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Janux Therapeutics, MD, Janux Therapeutics","Janux Therapeutics, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Els Wauters, MD, PhD, University Hospitals - KU Leuven","Els Wauters, MD, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Ronald Shazer, MD, Mirati Therapeutics Inc.","Ronald Shazer, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, J Stigt, Isala",J Stigt,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Peng Zhang, PhD, Shanghai Pulmonary Hospital, Shanghai, China","Peng Zhang, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Justin Mencel, MBBS, Royal Marsden Hospital NHS Foundation Trust","Justin Mencel, MBBS",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Lorenzo Cohen, M.D. Anderson Cancer Center",Lorenzo Cohen,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Maria Werner-Wasik, MD, Sidney Kimmel Cancer Center at Thomas Jefferson University","Maria Werner-Wasik, MD",Lung cancer (Ongoing)
NA,"Po-Chin Liang, PI",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Matthias Kretzler, MD, University of Michigan","Matthias Kretzler, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Carolyn J Presley, MD, Ohio State University Comprehensive Cancer Center","Carolyn J Presley, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Giovanni C Selvaggi, MD, Xcovery Holding Company, LLC","Giovanni C Selvaggi, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Stephanie Becker, MD, Centre Henri Becquerel|   PRINCIPAL_INVESTIGATOR, Florian Guisier, MD, CHU Rouen","Stephanie Becker, MD| Florian Guisier, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Yinghui Sun, PhD, Shouyao Holdings (Beijing) Co. LTD","Yinghui Sun, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Yang Jin, PHD, Wuhan Union Hospital, China","Yang Jin, PHD",Lung cancer (Ongoing)
"STUDY_CHAIR, Stephen R. Durham, MD, Allergy and Clinical Immunology Section at NHLI,Imperial College London","Stephen R. Durham, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jacob M Sands, Alliance for Clinical Trials in Oncology",Jacob M Sands,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Yongsheng Li, M.D. & Ph.D., Chongqing University Cancer Hospital","Yongsheng Li, M.D. & Ph.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Marianne Nordsmark, Dr., University of Aarhus|   STUDY_CHAIR, Karin Haustermans, Dr., UKleuven","Marianne Nordsmark, Dr.| Karin Haustermans, Dr.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Michaela FONTENAY, PhD, Assistance Publique - Hôpitaux de Paris|   STUDY_DIRECTOR, Eric SOLARY, MD, Gustave Roussy Institut","Michaela FONTENAY, PhD| Eric SOLARY, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Cindy L.K. Lam, MD, The University of Hong Kong","Cindy L.K. Lam, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Parvez Mantry, MD, Methodist Health System","Parvez Mantry, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Michael Mix, MD, State University of New York - Upstate Medical University","Michael Mix, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Cesare Gridelli, M.D., S.G. Moscati Hopital, Avellino, Italy, Division of Medical Oncology|   PRINCIPAL_INVESTIGATOR, Francesco Perrone, M.D., Ph.D, National Cancer Institute Naples, Italy; Director Clinical Trials Unit|   PRINCIPAL_INVESTIGATOR, Ciro Gallo, M.D., Ph.D, Second University of Naples, Italy; Chair of Medical Statistics|   PRINCIPAL_INVESTIGATOR, Massimo Di Maio, M.D., National Cancer Institute, Naples","Cesare Gridelli, M.D.| Francesco Perrone, M.D., Ph.D| Ciro Gallo, M.D., Ph.D| Massimo Di Maio, M.D.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Novartis Pharmaceuticals, Novartis Pharmaceuticals",Novartis Pharmaceuticals,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Marianna Koczywas, City of Hope Comprehensive Cancer Center LAO",Marianna Koczywas,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jeannie Hou, MD, Replimune Inc.","Jeannie Hou, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Siamak Daneshmand, University of Southern California",Siamak Daneshmand,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, florapym766@163.com Peng, MD,Ph.D, Beijing Tian Tan Hospital","florapym766@163.com Peng, MD,Ph.D",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Anurag Singh, Roswell Park Cancer Institute",Anurag Singh,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Rong Zhang, MD, Shanghai Fengxian District Central Hospital","Rong Zhang, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Zhenfeng Zhang, MD, PhD, Second Affiliated Hospital of Guangzhou Medical University","Zhenfeng Zhang, MD, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Call 1-877-CTILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Juan Li, MD, Sichuan Cancer Hospital and Research Institute","Juan Li, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Jun Wang, M.D., Peking University People's Hospital Thoracic Surgery Department","Jun Wang, M.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, GSK Clinical Trials, GlaxoSmithKline",GSK Clinical Trials,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Qian Chu, Tongji Hospital",Qian Chu,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Linda Wittkop, MDPhD, CHU de Bordeaux, Université de Bordeaux|   PRINCIPAL_INVESTIGATOR, Paul Loubet, MDPhD, CHU de Nimes, Université de Nimes|   PRINCIPAL_INVESTIGATOR, Odile Launay, MDPhD, Assistance Publique des Hôpitaux de Paris, Université de Paris|   PRINCIPAL_INVESTIGATOR, Romain Basmaci, MDPhD, Assistance Publique - Hôpitaux de Paris","Linda Wittkop, MDPhD| Paul Loubet, MDPhD| Odile Launay, MDPhD| Romain Basmaci, MDPhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Scott Knowles, MD, PhD, Seagen Inc.","Scott Knowles, MD, PhD",Lung cancer (Ongoing)
"STUDY_CHAIR, Luis Paz Ares, MD, Hospital 12 de Octubre","Luis Paz Ares, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Aminah Jatoi, MD, Mayo Clinic","Aminah Jatoi, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Peter Shields, MD, Ohio State University Comprehensive Cancer Center","Peter Shields, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Yang Jin, Professor, union hospital, Tongji Medical college, Huazhonguniversity of science and technology","Yang Jin, Professor",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kiran Kumar, MD, UT Southwestern Medical Center","Kiran Kumar, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Birthe Dinesen, MSc, PhD, Aalborg University|   STUDY_DIRECTOR, Jarl Voss Andersen Sigaard, MD, Palliative Team, South West Jutland Hospital","Birthe Dinesen, MSc, PhD| Jarl Voss Andersen Sigaard, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Suresh S Ramalingam, MD, FACP, FASCO, Emory University Hospital/Winship Cancer Institute","Suresh S Ramalingam, MD, FACP, FASCO",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Michael Boeckh, MD, Fred Hutchinson Cancer Center","Michael Boeckh, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Mi-Hyun Kim, PhD, Pusan National University Hospital","Mi-Hyun Kim, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Roisin M Connolly, JHU Sidney Kimmel Comprehensive Cancer Center LAO",Roisin M Connolly,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Dr Anthony Wilson, Manchester University NHS Foundation Trust",Dr Anthony Wilson,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, York E Miller, Northwestern University",York E Miller,Lung cancer (Ongoing)
"STUDY_CHAIR, Jie He, Dr., Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College","Jie He, Dr.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Katharine Offer, MD, Hackensack Meridian Health","Katharine Offer, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Thomas Wehler, Professor, Universitätsklinikum Gießen Marburg","Thomas Wehler, Professor",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Licia Rivoltini, Fondazione IRCCS Istituto Nazionale Tumori - Milan",Licia Rivoltini,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, MD, Amgen",MD,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Barry Sugarman, QSAM Therapeutics, Inc.",Barry Sugarman,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Amy Xu, MD, PhD, Memorial Sloan Kettering Cancer Center","Amy Xu, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Lars Bullinger, MD, University Hospital of Ulm","Lars Bullinger, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Signe Friesland, MD, PhD, Karolinska University Hospital","Signe Friesland, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Liang-wan Chen, M.D, Union Hospital","Liang-wan Chen, M.D",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Penelope A Bradbury, University Health Network Princess Margaret Cancer Center LAO",Penelope A Bradbury,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Salma K Jabbour, Rutgers Cancer Institute of New Jersey",Salma K Jabbour,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Bristol Myers Squibb, Bristol-Myers Squibb",Bristol Myers Squibb,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Clare C Sun, M.D., National Heart, Lung, and Blood Institute (NHLBI)","Clare C Sun, M.D.",Lung cancer (Ongoing)
"STUDY_CHAIR, Chen-Lung Lin, MD, Pell Bio-Med Technology Co., Ltd.","Chen-Lung Lin, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Robert J Kreitman, M.D., National Cancer Institute (NCI)","Robert J Kreitman, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Secondo Lastoria, M.D., National Cancer Institute, Naples|   PRINCIPAL_INVESTIGATOR, Francesco Perrone, M.D., Ph.D, National Cancer Institute Naples, Italy; Director Clinical Trials Unit|   PRINCIPAL_INVESTIGATOR, Ciro Gallo, M.D., Ph.D, Second University of Naples, Italy; Chair of Medical Statistics|   PRINCIPAL_INVESTIGATOR, Massimo Di Maio, M.D., National Cancer Institute, Naples|   PRINCIPAL_INVESTIGATOR, Alessandro Morabito, M.D., National Cancer Institute, Naples|   PRINCIPAL_INVESTIGATOR, Gaetano Rocco, M.D., National Cancer Institute, Naples","Secondo Lastoria, M.D.| Francesco Perrone, M.D., Ph.D| Ciro Gallo, M.D., Ph.D| Massimo Di Maio, M.D.| Alessandro Morabito, M.D.| Gaetano Rocco, M.D.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Study Director, CSL Behring",Study Director,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Charu Aggarwal, MD, MPH, University of Pennsylvania","Charu Aggarwal, MD, MPH",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_CHAIR, Francis X. McCormack, M.D., University of Cincinnati","Francis X. McCormack, M.D.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kristiyana Kaneva, MD, MS, Tempus Labs, Inc.|   PRINCIPAL_INVESTIGATOR, Anjali Avadhani, MD, Tempus Labs, Inc.","Kristiyana Kaneva, MD, MS| Anjali Avadhani, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, haibo zhang, Professor, Guangdong Provincial Hospital of Traditional Chinese Medicine","haibo zhang, Professor",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Joseph Greer, PHD, Massachusetts General Hospital","Joseph Greer, PHD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Zhiyong Yuan, Ph.D., Tianjin Medical University Cancer Institute and Hospital","Zhiyong Yuan, Ph.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jeffrey Bednarski, M.D., Ph.D., Washington University School of Medicine","Jeffrey Bednarski, M.D., Ph.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, J.A. Gietema, MD, PhD, University Medical Center Groningen","J.A. Gietema, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Aurelien Delluc, MD, PhD, The Ottawa Hospital|   PRINCIPAL_INVESTIGATOR, Miriam Kimpton, MD, The Ottawa Hospital","Aurelien Delluc, MD, PhD| Miriam Kimpton, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Robert J Volk, M.D. Anderson Cancer Center",Robert J Volk,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Giorgio V Scagliotti, Medicine, Oncology department-University of Turin- AOU San Luigi Gonzaga","Giorgio V Scagliotti, Medicine",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ana Aparicio, M.D. Anderson Cancer Center",Ana Aparicio,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Yongchang Zhang, MD, Hunan Cancer Hospital","Yongchang Zhang, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, JinMing Yu, PhD, Shandong Cancer Hospital and Institute","JinMing Yu, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hope, University Health Network, Toronto",Hope,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Marion FERREIRA, University Hospital, Tours",Marion FERREIRA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, David C Christiani, MD, Harvard TH Chan School of Public Health","David C Christiani, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Nina Merchant, Medicenna Therapeutics|   STUDY_CHAIR, Martin Bexon, MBBS, Medicenna Therapeutics","Nina Merchant| Martin Bexon, MBBS",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Iris Walraven, PhD., Radboud University Medical Center|   PRINCIPAL_INVESTIGATOR, Annemarie Becker-Commissaris, PhD./MD., Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)","Iris Walraven, PhD.| Annemarie Becker-Commissaris, PhD./MD.",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Marcelo V Negrao, M.D. Anderson Cancer Center",Marcelo V Negrao,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Aaron S Mansfield, Dana-Farber - Harvard Cancer Center LAO",Aaron S Mansfield,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hye Ryun Kim, Severance Hospital",Hye Ryun Kim,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Oyebimpe O Adesina, MD, MS, UC Davis School of Medicine","Oyebimpe O Adesina, MD, MS",Lung cancer (Ongoing)
"STUDY_CHAIR, S Mahabhashyam, MD, Corvus Pharmaceuticals","S Mahabhashyam, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Stephanie Lee, Fred Hutch/University of Washington Cancer Consortium",Stephanie Lee,Lung cancer (Ongoing)
"STUDY_CHAIR, Darrin Beaupre, MD, PhD, CMO, Biosplice Therapeutics, Inc.","Darrin Beaupre, MD, PhD, CMO",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Amit Sawant, PhD, University of Maryland, Baltimore","Amit Sawant, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Daniel S Shin, MD PhD, VA Greater Los Angeles Healthcare System, West Los Angeles, CA","Daniel S Shin, MD PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jackie Walling, MD, PhD, Lyell Immunopharma, Inc.","Jackie Walling, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jussuf T Kaifi, MD, University of Missouri Health Care","Jussuf T Kaifi, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Chengzhi Zhou, MD, The First Affiliated Hospital of Guangzhou Medical University|   PRINCIPAL_INVESTIGATOR, Xin Chen, MD, Zhujiang Hospital affiliated to Southern Medical University","Chengzhi Zhou, MD| Xin Chen, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sally Lau, NYU Langone Health",Sally Lau,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Steven Maron, MD, Memorial Sloan Kettering Cancer Center","Steven Maron, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Director Clinical Science, Takeda",Medical Director Clinical Science,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Lara Traeger, PhD, Massachusetts General Hospital","Lara Traeger, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_CHAIR, You Lu, MD, West China Hospital|   PRINCIPAL_INVESTIGATOR, Yan Zhang, MD, West China Hospital|   STUDY_DIRECTOR, Yue Xie, MM, Chongqing University Cancer Hospital|   PRINCIPAL_INVESTIGATOR, Shu Jie Li, MM, Chongqing University Cancer Hospital|   STUDY_DIRECTOR, Shun Dong Cang, MD, Henan Provincial People's Hospital|   PRINCIPAL_INVESTIGATOR, Lu Lu Su, MD, Henan Provincial People's Hospital","You Lu, MD| Yan Zhang, MD| Yue Xie, MM| Shu Jie Li, MM| Shun Dong Cang, MD| Lu Lu Su, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Amy R Leader, DrPH, MPH, Thomas Jefferson University","Amy R Leader, DrPH, MPH",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Roy Strowd, MD, Wake Forest University Health Sciences","Roy Strowd, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Christina S. Baik, Fred Hutch/University of Washington Cancer Consortium",Christina S. Baik,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Paul Paik, MD, Memorial Sloan Kettering Cancer Center","Paul Paik, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Yi-Jin Gao, MD, Shanghai Children's Medical Center","Yi-Jin Gao, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Erin R Macrae, ECOG-ACRIN Cancer Research Group",Erin R Macrae,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Tetyana Kendzerska, MD, PhD, The Ottawa Hospital Research Institute","Tetyana Kendzerska, MD, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jianbo Yu, MD, Tianjin Nankai Hospital","Jianbo Yu, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Mark Vincent, MD, Lawson Health Research Institute","Mark Vincent, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hong Li, MD, The Sixth Affiliated Hospital, Sun Yat-sen University","Hong Li, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Priya R Bhosale, M.D. Anderson Cancer Center",Priya R Bhosale,Lung cancer (Ongoing)
"STUDY_DIRECTOR, David Angulo, MD, Sponsor GmbH","David Angulo, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Guang-ying Zhu, MD, China-Japan Friendship Hospital","Guang-ying Zhu, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Hany Hassan El sayed, prof Dr., hanyhassan77@hotmail.com","Hany Hassan El sayed, prof Dr.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Monzr M Al Malki, City of Hope Comprehensive Cancer Center",Monzr M Al Malki,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ying Cheng, Jilin Provincial Tumor Hospital",Ying Cheng,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hirva Mamdani, MD, Wayne State University","Hirva Mamdani, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Director, Merck Sharp & Dohme LLC",Medical Director,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Parinda Mehta, MD, CCHMC","Parinda Mehta, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pfizer CT.gov Call Center, Pfizer",Pfizer CT.gov Call Center,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hong Kwan Kim, MD, PhD, Samsung Medical Center","Hong Kwan Kim, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Inna M Chen, MD, Herlev and Gentofte Hospital","Inna M Chen, MD",Lung cancer (Ongoing)
